"","Date","hour","MeterID","MonthRead","count","fd"
"466","2018-01-18",1,1030664,43,1440,4
"467","2018-01-18",2,1030664,40,1440,4
"468","2018-01-18",3,1030664,52,1440,5
"469","2018-01-18",4,1030664,13,1440,1
"470","2018-01-18",5,1030664,10,1440,1
"471","2018-01-18",6,1030664,68,1440,6
"472","2018-01-18",7,1030664,31,1440,3
"473","2018-01-18",8,1030664,37,1440,3
"474","2018-01-18",9,1030664,48,1440,4
"475","2018-01-18",10,1030664,52,1440,5
"476","2018-01-18",11,1030664,32,1440,3
"477","2018-01-18",12,1030664,54,1440,5
"478","2018-01-19",1,1030664,36,1440,3
"479","2018-01-19",2,1030664,51,1440,5
"480","2018-01-19",3,1030664,33,1440,3
"481","2018-01-19",4,1030664,17,1440,1
"482","2018-01-19",5,1030664,7,1440,7
"483","2018-01-19",6,1030664,47,1440,4
"484","2018-01-19",7,1030664,18,1440,1
"485","2018-01-19",8,1030664,30,1440,3
"486","2018-01-19",9,1030664,60,1440,6
"487","2018-01-19",10,1030664,42,1440,4
"488","2018-01-19",11,1030664,36,1440,3
"489","2018-01-19",12,1030664,39,1440,3
"490","2018-01-20",1,1030664,2,1440,2
"491","2018-01-20",2,1030664,5,1440,5
"492","2018-01-20",3,1030664,4,1440,4
"493","2018-01-20",4,1030664,12,1440,1
"494","2018-01-20",5,1030664,2,1440,2
"495","2018-01-20",6,1030664,2,1440,2
"496","2018-01-20",7,1030664,1,1440,1
"497","2018-01-20",9,1030664,7,1440,7
"498","2018-01-20",10,1030664,2,1440,2
"499","2018-01-20",11,1030664,8,1440,8
"500","2018-01-21",1,1030664,1,1440,1
"501","2018-01-21",2,1030664,5,1440,5
"502","2018-01-21",3,1030664,4,1440,4
"503","2018-01-21",4,1030664,5,1440,5
"504","2018-01-21",5,1030664,2,1440,2
"505","2018-01-21",6,1030664,1,1440,1
"506","2018-01-21",7,1030664,1,1440,1
"507","2018-01-21",10,1030664,2,1440,2
"508","2018-01-21",11,1030664,2,1440,2
"509","2018-01-21",12,1030664,1,1440,1
"510","2018-01-22",1,1030664,57,1440,5
"511","2018-01-22",2,1030664,50,1440,5
"512","2018-01-22",3,1030664,51,1440,5
"513","2018-01-22",4,1030664,11,1440,1
"514","2018-01-22",5,1030664,10,1440,1
"515","2018-01-22",6,1030664,67,1440,6
"516","2018-01-22",7,1030664,30,1440,3
"517","2018-01-22",8,1030664,29,1440,2
"518","2018-01-22",9,1030664,54,1440,5
